Name,Rarity,Price
Eternatus V - SWSH044,Promo,$2.37 
Eternatus VMAX - SWSH045,Promo,$4.29 
Flapple - SWSH022 (Prerelease Promo),Promo,$4.19 
Flapple - SWSH189,Promo,$0.45 
Flareon V - SWSH149,Promo,$2.86 
Flareon VMAX - SWSH180,Promo,$16.64 
Frosmoth - SWSH007 (Prerelease Promo) [Staff],Promo,$24.77 
Galarian Moltres - SWSH125 (Prerelease Promo),Promo,$8.00 
Galarian Obstagoon - SWSH059,Promo,$1.78 
Galarian Perrserker - SWSH008 (Prerelease Promo),Promo,$3.76 
Galarian Ponyta - SWSH013,Promo,$3.54 
Galarian Sirfetch'd V - SWSH043,Promo,$1.49 
Galarian Zapdos - SWSH124 (Prerelease Promo),Promo,$3.22 
Garbodor - SWSH025 (Prerelease Promo) [Staff],Promo,$19.93 
Gengar - SWSH052,Promo,$7.89 
Glaceon V - SWSH196,Promo,$1.69 
Gossifleur - SWSH010,Promo,$0.57 
Greninja V-UNION - SWSH155,Promo,$2.45 
Greninja V-UNION - SWSH157,Promo,$5.05 
Greninja V-UNION [Set of 4],Promo,$9.46 
Grookey - SWSH001,Promo,$3.29 
Hatenna - SWSH040,Promo,$0.39 
Hoopa V - SWSH176,Promo,$1.48 
Hydreigon - SWSH037 (Prerelease Promo),Promo,$3.89 
Hydreigon C lv.61 - SWSH138,Promo,$0.24 
Inteleon - SWSH113 (Prerelease Promo),Promo,$5.62 
Inteleon V - SWSH016,Promo,$1.10 
Jolteon V - SWSH151,Promo,$8.85 
Jolteon VMAX - SWSH184,Promo,$23.52 
Kangaskhan - SWSH038 (Prerelease Promo) [Staff],Promo,$47.22 
Lapras - SWSH051,Promo,$2.56 
Leafeon - SWSH191,Promo,$0.95 
Leafeon VSTAR - SWSH195,Promo,$3.89 
Light Toxtricity - SWSH137,Promo,$0.55 
Lucario V - SWSH213,Promo,$3.74 
Lugia - SWSH069 (Prerelease Promo),Promo,$23.97 
Luxray - SWSH023 (Prerelease Promo),Promo,$6.22 
Lycanroc V - SWSH199,Promo,$3.51 
Mantine - SWSH026,Promo,$0.74 
Marnie - SWSH121,Promo,$31.51 
Meowth VMAX - SWSH005,Promo,$2.57 
Mewtwo V-UNION - SWSH160,Promo,$5.35 
Mewtwo V-UNION - SWSH162,Promo,$4.96 
Mimikyu (Delta Species) - SWSH136,Promo,$0.98 
Morpeko - SWSH012,Promo,$1.24 
Morpeko - SWSH116,Promo,$0.33 
Morpeko V-Union - SWSH215,Promo,$1.47 
Morpeko V-Union - SWSH217,Promo,$1.46 
Morpeko V-Union [Set of 4],Promo,$4.03 
Noivern V - SWSH148,Promo,$4.00 
Orbeetle V - SWSH078,Promo,$0.95 
Oshawott - SWSH222,Promo,$1.71 
Pikachu - SWSH039,Promo,$0.96 
Pikachu V - SWSH063,Promo,$1.84 
Pikachu V - SWSH145,Promo,$28.88 
Pikachu VMAX - SWSH062,Promo,$5.79 
Pikachu V-Union - SWSH140,Promo,$0.98 
Pikachu V-Union - SWSH142,Promo,$0.99 
Poke Ball - SWSH146,Promo,$11.65 
Polteageist V - SWSH021,Promo,$1.80 
Professor Burnet - SWSH167 (25th Anniversary Stamp),Promo,$0.28 
Rapid Strike Urshifu V - SWSH107,Promo,$1.38 
Rayquaza V - SWSH147,Promo,$5.97 
Rillaboom - SWSH006 (Prerelease Promo) [Staff],Promo,$96.87 
Rowlet - SWSH220,Promo,$2.05 
Scorbunny - SWSH071,Promo,$0.50 
Single Strike Urshifu V - SWSH106,Promo,$1.02 
Snorlax - SWSH068 (Prerelease Promo),Promo,$16.59 
Snorlax - SWSH119,Promo,$0.44 
Sobble - SWSH073,Promo,$0.83 
Special Delivery Pikachu - SWSH074,Promo,$144.05 
Tepig - SWSH172,Promo,$0.32 
Tyranitar V - SWSH109,Promo,$1.24 
Vaporeon V - SWSH150,Promo,$3.46 
Vaporeon VMAX - SWSH182,Promo,$25.27 
Venusaur VMAX - SWSH102,Promo,$14.02 
Wooloo - SWSH011,Promo,$0.71 
Zacian LV. X - SWSH135,Promo,$1.38 
Zacian V - SWSH076,Promo,$6.81 
Zacian V-UNION - SWSH164,Promo,$1.91 
Zacian V-UNION - SWSH166,Promo,$2.93 
Zamazenta - SWSH034,Promo,$3.54 
Zamazenta V - SWSH077,Promo,$4.83 
Absol,Uncommon,$0.21 
Alolan Grimer,Common,$0.08 
Alolan Muk,Rare,$0.31 
Alolan Persian GX,Ultra Rare,$1.74 
Alolan Persian GX (Secret),Secret Rare,$6.71 
Alolan Sandslash,Rare,$0.32 
Ambipom,Uncommon,$0.12 
Araquanid,Uncommon,$0.14 
Arceus & Dialga & Palkia GX (Alternate Art),Ultra Rare,$83.04 
Arceus & Dialga & Palkia GX (Secret),Secret Rare,$34.92 
Azurill,Common,$0.27 
Bellelba & Brycen-Man,Uncommon,$0.17 
Bisharp,Uncommon,$0.13 
Black Kyurem,Holo Rare,$0.78 
Blastoise & Piplup GX (Alternate Art),Ultra Rare,$49.05 
Blastoise & Piplup GX (Secret),Secret Rare,$41.23 
Buzzwole,Holo Rare,$0.91 
Chaotic Swell,Uncommon,$0.49 
Charizard & Braixen GX (Full Art),Ultra Rare,$27.69 
Chinchou,Common,$0.05 
Clefairy,Uncommon,$0.15 
Code Card - Cosmic Eclipse Booster Pack,Code Card,$0.11 
Code Card - Cosmic Eclipse Elite Trainer Box,Code Card,$1.00 
Cosmog - 100/236,Common,$0.06 
Cottonee,Common,$0.13 
Crabrawler,Common,$0.09 
Cynthia & Caitlin,Uncommon,$0.82 
Dartrix,Uncommon,$0.18 
Deerling,Common,$0.11 
Dhelmise,Uncommon,$0.16 
Dragonium Z: Dragon Claw,Uncommon,$0.08 
Draw Energy,Uncommon,$0.20 
Drilbur,Common,$0.13 
Dusclops,Uncommon,$0.22 
Duskull,Common,$0.12 
Eevee - 167/236,Common,$0.30 
Empoleon,Rare,$0.33 
Erika,Uncommon,$0.18 
Excadrill (Secret),Secret Rare,$2.94 
Flabebe - 150/236,Common,$0.09 
Floette,Uncommon,$0.19 
Flygon GX,Ultra Rare,$1.76 
Flygon GX (Secret),Secret Rare,$13.70 
Gallade (Secret),Secret Rare,$4.37 
Glalie,Rare,$0.27 
Golduck,Uncommon,$0.17 
Golurk,Rare,$0.22 
Great Catcher (Secret),Secret Rare,$4.90 
Guzma & Hala,Uncommon,$0.79 
Guzzlord,Holo Rare,$2.19 
Heliolisk,Rare,$0.19 
Heracross,Uncommon,$0.14 
Igglybuff,Uncommon,$0.25 
Island Challenge Amulet (Secret),Secret Rare,$4.05 
Jangmo-o - 161/236,Common,$0.17 
Kirlia,Uncommon,$0.25 
Koffing (Secret),Secret Rare,$7.83 
Kricketot,Common,$0.10 
Kyogre,Rare,$0.48 
Lana's Fishing Rod (Secret),Secret Rare,$6.67 
Larvesta,Uncommon,$0.15 
Lillie's Full Force,Uncommon,$0.17 
Lillie's Poke Doll,Uncommon,$0.24 
Lillipup,Common,$0.10 
Lunala,Holo Rare,$0.90 
Magcargo,Rare,$0.23 
Magnemite (Secret),Secret Rare,$4.45 
Mallow & Lana,Uncommon,$0.23 
Marshadow,Rare,$0.28 
Mawile,Uncommon,$0.17 
Mega Lopunny & Jigglypuff GX (Alternate Art),Ultra Rare,$21.06 
Mega Lopunny & Jigglypuff GX (Secret),Secret Rare,$12.35 
Mimikyu (97),Rare,$0.36 
Misty & Lorelei,Uncommon,$0.21 
Naganadel & Guzzlord GX (Alternate Art),Ultra Rare,$16.80 
Naganadel & Guzzlord GX (Secret),Secret Rare,$11.56 
Nosepass,Common,$0.06 
N's Resolve (Full Art),Ultra Rare,$23.68 
Onix,Common,$0.11 
Oricorio GX (Full Art),Ultra Rare,$2.75 
Palossand,Rare,$0.24 
Pancham,Common,$0.15 
Passimian,Common,$0.07 
Phantump,Common,$0.09 
Pignite,Uncommon,$0.17 
Pikachu (Secret),Secret Rare,$40.05 
Piplup (Secret),Secret Rare,$14.85 
Power Plant (Secret),Secret Rare,$6.81 
Probopass,Uncommon,$0.14 
Professor Oak's Setup (Full Art),Ultra Rare,$23.31 
Pyroar,Uncommon,$0.16 
Ralts,Common,$0.13 
Red & Blue,Uncommon,$0.23 
Reshiram & Zekrom GX,Ultra Rare,$8.17 
Reshiram & Zekrom GX (Secret),Secret Rare,$34.45 
Roller Skater,Uncommon,$0.14 
Rosa,Holo Rare,$2.63 
Rotom,Uncommon,$0.18 
Rowlet - 18/236,Common,$0.20 
Rufflet,Common,$0.05 
Sawsbuck,Holo Rare,$0.54 
Seismitoad,Rare,$0.22 
Silvally GX (Full Art),Ultra Rare,$14.51 
Skrelp,Common,$0.14 
Slurpuff,Rare,$0.29 
Snorunt,Common,$0.16 
Solgaleo & Lunala GX,Ultra Rare,$5.58 
Solgaleo & Lunala GX (Secret),Secret Rare,$32.43 
Spheal - 50/236,Common,$0.07 
Steelix (Secret),Secret Rare,$6.05 
Stoutland (Secret),Secret Rare,$3.33 
Sunflora,Rare,$0.39 
Swanna,Rare,$0.20 
Swoobat,Rare,$0.27 
Tag Call,Uncommon,$0.21 
Tangela,Common,$0.12 
Teddiursa,Common,$0.12 
Throh,Uncommon,$0.23 
Togedemaru - 74/236,Common,$0.11 
Torkoal,Uncommon,$0.14 
Trapinch - 107/236,Common,$0.16 
Trevenant,Rare,$0.24 
Tympole,Common,$0.13 
Ultra Necrozma,Holo Rare,$1.78 
Ursaring,Rare,$0.24 
Venusaur & Snivy GX,Ultra Rare,$3.98 
Venusaur & Snivy GX (Secret),Secret Rare,$17.61 
Victini,Holo Rare,$0.50 
Vileplume GX (Full Art),Ultra Rare,$25.56 
Volcarona GX,Ultra Rare,$1.76 
Volcarona GX (Secret),Secret Rare,$9.41 
Wailord,Rare,$0.28 
Weavile,Rare,$0.27 
Weezing,Rare,$0.28 
Will,Uncommon,$0.21 
Wishiwashi (Secret),Secret Rare,$5.33 
Woobat,Common,$0.06 
Zangoose,Uncommon,$0.18 
Aipom,Common,$0.08 
Alolan Meowth,Common,$0.20 
Alolan Ninetales,Holo Rare,$1.33 
Alolan Persian GX (Full Art),Ultra Rare,$2.65 
Alolan Sandshrew,Common,$0.18 
Alolan Vulpix,Common,$0.33 
Anorith,Uncommon,$0.22 
Arceus & Dialga & Palkia GX,Ultra Rare,$6.27 
Arceus & Dialga & Palkia GX (Full Art),Ultra Rare,$17.92 
Armaldo,Rare,$0.30 
Beastite,Uncommon,$0.10 
Bewear,Rare,$0.23 
Blacephalon,Holo Rare,$1.11 
Blastoise & Piplup GX,Ultra Rare,$7.89 
Blastoise & Piplup GX (Full Art),Ultra Rare,$18.26 
Braviary,Rare,$0.24 
Carvanha,Common,$0.06 
Charizard & Braixen GX,Ultra Rare,$8.40 
Charizard & Braixen GX (Secret),Secret Rare,$96.64 
Clay,Uncommon,$0.14 
Code Card - Cosmic Eclipse Theme Deck [Groudon],Code Card,$4.99 
Cosmoem,Uncommon,$0.21 
Cosmog - 99/236,Common,$0.17 
Crabominable,Rare,$0.22 
Cradily,Rare,$0.36 
Cynthia & Caitlin (Full Art),Ultra Rare,$48.04 
Decidueye,Holo Rare,$0.66 
Dewpider,Common,$0.08 
Dragalge,Rare,$0.26 
Drampa,Rare,$0.24 
Draw Energy (Secret),Secret Rare,$6.49 
Ducklett,Common,$0.07 
Dusknoir,Holo Rare,$0.64 
Eevee - 166/236,Common,$0.26 
Emboar,Rare,$0.30 
Entei,Rare,$0.40 
Excadrill,Holo Rare,$0.73 
Flabebe - 149/236,Common,$0.13 
Flareon,Uncommon,$0.19 
Florges,Holo Rare,$0.55 
Flygon GX (Full Art),Ultra Rare,$5.43 
Gallade,Holo Rare,$0.54 
Giant Hearth (Secret),Secret Rare,$9.41 
Gloom,Uncommon,$0.18 
Golett,Common,$0.06 
Great Catcher,Uncommon,$0.17 
Groudon,Rare,$0.55 
Guzma & Hala (Full Art),Ultra Rare,$12.42 
Hakamo-o,Uncommon,$0.14 
Helioptile,Common,$0.07 
Herdier,Uncommon,$0.10 
Island Challenge Amulet,Uncommon,$0.11 
Jangmo-o - 160/236,Common,$0.14 
Jolteon,Uncommon,$0.22 
Koffing,Common,$0.15 
Kommo-o,Holo Rare,$0.51 
Kricketune,Uncommon,$0.19 
Lana's Fishing Rod,Uncommon,$0.17 
Lanturn,Rare,$0.25 
Lileep,Uncommon,$0.22 
Lillie's Full Force (Full Art),Ultra Rare,$55.46 
Lillie's Poke Doll (Secret),Secret Rare,$13.05 
Litleo,Common,$0.08 
Lycanroc,Holo Rare,$0.55 
Magnemite,Common,$0.11 
Magneton,Holo Rare,$1.14 
Mallow & Lana (Full Art),Ultra Rare,$29.29 
Martial Arts Dojo (Secret),Secret Rare,$9.64 
Mega Lopunny & Jigglypuff GX,Ultra Rare,$2.32 
Mega Lopunny & Jigglypuff GX (Full Art),Ultra Rare,$7.68 
Mimikyu (96),Uncommon,$0.36 
Mimikyu (Secret),Secret Rare,$11.10 
Naganadel & Guzzlord GX,Ultra Rare,$2.47 
Naganadel & Guzzlord GX (Full Art),Ultra Rare,$5.23 
Natu,Common,$0.07 
N's Resolve,Uncommon,$0.18 
Oddish,Common,$0.22 
Oricorio GX,Ultra Rare,$1.78 
Oricorio GX (Secret),Secret Rare,$7.69 
Palpitoad,Common,$0.06 
Pangoro,Uncommon,$0.20 
Pawniard,Common,$0.08 
Phione,Rare,$0.41 
Pikachu,Common,$0.33 
Piplup,Common,$0.22 
Ponyta,Common,$0.20 
Prinplup,Uncommon,$0.23 
Professor Oak's Setup,Uncommon,$0.14 
Psyduck,Common,$0.20 
Raichu,Rare,$0.67 
Rapidash,Uncommon,$0.25 
Red & Blue (Full Art),Ultra Rare,$51.77 
Reshiram & Zekrom GX (Full Art),Ultra Rare,$38.11 
Rockruff,Common,$0.14 
Roller Skater (Full Art),Ultra Rare,$11.98 
Rosa (Full Art),Ultra Rare,$115.62 
Rowlet - 17/236,Common,$0.16 
Roxie,Uncommon,$0.19 
Sandygast,Common,$0.12 
Sealeo,Uncommon,$0.21 
Silvally GX,Ultra Rare,$2.50 
Silvally GX (Secret),Secret Rare,$12.10 
Slugma,Common,$0.15 
Sneasel,Common,$0.12 
Solgaleo,Holo Rare,$0.80 
Solgaleo & Lunala GX (Full Art),Ultra Rare,$42.92 
Spheal - 49/236,Common,$0.07 
Steelix,Holo Rare,$0.55 
Stoutland,Holo Rare,$0.58 
Stufful,Common,$0.07 
Sunkern,Common,$0.22 
Swirlix,Common,$0.10 
Sylveon,Rare,$1.50 
Tag Call (Secret),Secret Rare,$7.83 
Tangrowth,Uncommon,$0.18 
Tepig,Common,$0.12 
Togedemaru - 73/236,Uncommon,$0.20 
Togepi & Cleffa & Igglybuff GX,Ultra Rare,$4.31 
Torkoal (Secret),Secret Rare,$6.04 
Trapinch - 108/236,Common,$0.06 
Tropius,Uncommon,$0.20 
Type: Null,Uncommon,$0.21 
Unidentified Fossil,Uncommon,$0.16 
Vaporeon,Uncommon,$0.31 
Venusaur & Snivy GX (Full Art),Ultra Rare,$7.77 
Vibrava,Uncommon,$0.18 
Vileplume GX,Ultra Rare,$3.49 
Vileplume GX (Secret),Secret Rare,$17.69 
Volcarona GX (Full Art),Ultra Rare,$3.68 
Wailmer,Common,$0.13 
Walrein,Rare,$0.24 
Weavile (Secret),Secret Rare,$4.01 
Whimsicott,Rare,$0.24 
Wishiwashi,Holo Rare,$0.93 
Wishiwashi GX,Ultra Rare,$1.47 
Xatu,Rare,$0.28 
Alolan Dugtrio,Promo,$5.37 
Alolan Meowth,Promo,$4.99 
Caterpie,Promo,$10.58 
Gastly,Promo,$9.00 
Magmar,Promo,$3.84 
Onix,Promo,$4.09 
Alolan Exeggutor,Promo,$2.58 
Alolan Sandshrew,Promo,$7.08 
Eevee,Promo,$27.50 
Lapras,Promo,$11.45 
Mankey,Promo,$5.16 
Pikachu,Promo,$16.13 
Arbok,Rare,$0.19 
Blaine's Last Stand,Rare,$0.14 
Brock's Pewter City Gym,Uncommon,$0.05 
Butterfree,Rare,$0.21 
Chansey,Uncommon,$0.12 
Charmander,Common,$0.16 
Clefable,Rare,$0.21 
Clefairy (39),Common,$0.08 
Code Card - Hidden Fates Tin [Charizard GX],Code Card,$0.59 
Cubone,Common,$0.07 
Eevee (49),Common,$0.10 
Ekans (26),Common,$0.06 
Erika's Hospitality,Rare,$0.24 
Geodude,Common,$0.10 
Giovanni's Exile (Full Art),Ultra Rare,$1.70 
Graveler,Uncommon,$0.09 
Jessie & James,Holo Rare,$0.30 
Jigglypuff,Common,$0.10 
Jynx,Uncommon,$0.08 
Koffing,Common,$0.07 
Lapras,Rare,$0.20 
Magikarp,Common,$0.08 
Metapod,Uncommon,$0.09 
Mewtwo GX,Ultra Rare,$3.97 
Misty's Determination,Uncommon,$0.13 
Moltres & Zapdos & Articuno GX,Ultra Rare,$5.81 
Moltres & Zapdos & Articuno GX (Secret),Secret Rare,$12.13 
Onix GX,Ultra Rare,$1.55 
Pikachu,Common,$0.21 
Pokemon Center Lady,Uncommon,$0.12 
Raichu GX,Ultra Rare,$1.61 
Scyther,Uncommon,$0.15 
Snorlax,Rare,$0.24 
Staryu,Common,$0.06 
Voltorb,Common,$0.07 
Wigglytuff GX,Ultra Rare,$1.76 
Bill's Analysis,Rare,$0.20 
Brock's Grit,Uncommon,$0.11 
Brock's Training,Holo Rare,$0.27 
Caterpie,Common,$0.07 
Charizard GX,Ultra Rare,$5.65 
Charmeleon,Uncommon,$0.14 
Clefairy (38),Common,$0.08 
Code Card - Hidden Fates Booster Pack,Code Card,$0.09 
Code Card - Hidden Fates Tin [Gyarados GX],Code Card,$0.34 
Eevee (48),Holo Rare,$0.40 
Ekans (25),Common,$0.05 
Electrode,Rare,$0.14 
Farfetch'd,Uncommon,$0.08 
Giovanni's Exile,Uncommon,$0.10 
Golem,Rare,$0.20 
Gyarados GX,Ultra Rare,$2.78 
Jessie & James (Full Art),Ultra Rare,$5.23 
Jolteon,Rare,$0.28 
Kangaskhan,Rare,$0.17 
Koga's Trap,Uncommon,$0.17 
Lt. Surge's Strategy,Uncommon,$0.10 
Magmar,Uncommon,$0.08 
Mew,Rare,$0.41 
Misty's Cerulean City Gym,Uncommon,$0.08 
Misty's Water Command,Holo Rare,$0.27 
Moltres & Zapdos & Articuno GX (Full Art),Ultra Rare,$8.54 
Mr. Mime,Rare,$0.18 
Paras,Common,$0.05 
Pinsir GX,Ultra Rare,$1.43 
Psyduck,Common,$0.09 
Sabrina's Suggestion,Uncommon,$0.08 
Slowpoke,Common,$0.08 
Starmie GX,Ultra Rare,$1.44 
Vaporeon,Holo Rare,$0.47 
Weezing,Rare,$0.19 
Zapdos,Holo Rare,$0.42 
Aether Foundation Employee,Shiny Holo Rare,$6.32 
Alolan Ninetales GX,Shiny Holo Rare,$16.70 
Altaria,Shiny Holo Rare,$2.07 
Articuno GX,Shiny Holo Rare,$11.93 
Beldum,Shiny Holo Rare,$1.27 
Buzzwole,Shiny Holo Rare,$1.59 
Celesteela,Shiny Holo Rare,$1.58 
Charmander,Shiny Holo Rare,$12.59 
Cynthia,Shiny Holo Rare,$72.20 
Dartrix,Shiny Holo Rare,$1.77 
Diancie,Shiny Holo Rare,$1.89 
Eevee,Shiny Holo Rare,$19.99 
Espeon GX,Shiny Holo Rare,$50.40 
Froakie,Shiny Holo Rare,$1.70 
Gabite,Shiny Holo Rare,$1.97 
Gardevoir GX,Shiny Holo Rare,$26.61 
Glaceon GX,Shiny Holo Rare,$19.73 
Greninja GX,Shiny Holo Rare,$28.69 
Guzzlord,Shiny Holo Rare,$2.03 
Hiker,Shiny Holo Rare,$4.69 
Inkay,Shiny Holo Rare,$1.34 
Kartana GX,Shiny Holo Rare,$2.67 
Lady,Shiny Holo Rare,$12.17 
Lucario,Shiny Holo Rare,$7.09 
Lycanroc GX (SV66),Shiny Holo Rare,$9.10 
Magnemite,Shiny Holo Rare,$1.65 
Magnezone,Shiny Holo Rare,$2.06 
Metang,Shiny Holo Rare,$1.70 
Mt. Coronet,Shiny Holo Rare,$9.23 
Nihilego GX,Shiny Holo Rare,$6.02 
Noivern GX,Shiny Holo Rare,$12.98 
Pheromosa,Shiny Holo Rare,$1.59 
Quagsire,Shiny Holo Rare,$2.96 
Reshiram GX,Shiny Holo Rare,$14.56 
Rockruff,Shiny Holo Rare,$1.52 
Scizor GX,Shiny Holo Rare,$25.74 
Seviper,Shiny Holo Rare,$1.60 
Shuppet,Shiny Holo Rare,$1.65 
Stakataka GX,Shiny Holo Rare,$5.85 
Swablu,Shiny Holo Rare,$2.32 
Tapu Bulu GX,Shiny Holo Rare,$15.37 
Tapu Koko GX,Shiny Holo Rare,$19.33 
Turtonator GX,Shiny Holo Rare,$5.65 
Umbreon GX,Shiny Holo Rare,$85.51 
Wimpod,Shiny Holo Rare,$1.80 
Xurkitree,Shiny Holo Rare,$1.54 
Zorua,Shiny Holo Rare,$3.44 
Aether Paradise Conservation Area,Shiny Holo Rare,$10.73 
Alolan Vulpix,Shiny Holo Rare,$3.19 
Altaria GX,Shiny Holo Rare,$12.07 
Banette GX,Shiny Holo Rare,$5.33 
Brooklet Hill,Shiny Holo Rare,$12.88 
Buzzwole GX,Shiny Holo Rare,$4.21 
Charizard GX,Shiny Holo Rare,$399.98 
Charmeleon,Shiny Holo Rare,$13.99 
Darkrai GX,Shiny Holo Rare,$26.04 
Decidueye GX,Shiny Holo Rare,$8.76 
Drampa GX,Shiny Holo Rare,$6.13 
Electrode GX,Shiny Holo Rare,$9.52 
Fisherman,Shiny Holo Rare,$5.24 
Frogadier,Shiny Holo Rare,$2.32 
Garchomp,Shiny Holo Rare,$4.66 
Gible,Shiny Holo Rare,$1.68 
Golisopod GX,Shiny Holo Rare,$3.84 
Guzma,Shiny Holo Rare,$15.44 
Guzzlord GX,Shiny Holo Rare,$5.26 
Ho-Oh GX,Shiny Holo Rare,$18.68 
Kartana,Shiny Holo Rare,$1.56 
Kirlia,Shiny Holo Rare,$1.98 
Leafeon GX,Shiny Holo Rare,$37.69 
Lucario GX,Shiny Holo Rare,$22.58 
Lycanroc GX (SV67),Shiny Holo Rare,$9.69 
Magneton,Shiny Holo Rare,$2.33 
Malamar,Shiny Holo Rare,$1.99 
Mewtwo GX,Shiny Holo Rare,$50.37 
Naganadel GX,Shiny Holo Rare,$5.26 
Noibat,Shiny Holo Rare,$1.84 
Oranguru,Shiny Holo Rare,$1.59 
Poipole,Shiny Holo Rare,$1.95 
Ralts,Shiny Holo Rare,$1.51 
Riolu,Shiny Holo Rare,$4.50 
Rowlet,Shiny Holo Rare,$2.06 
Scyther,Shiny Holo Rare,$5.81 
Shrine of Punishment,Shiny Holo Rare,$8.26 
Silvally GX,Shiny Holo Rare,$7.67 
Sudowoodo,Shiny Holo Rare,$2.13 
Sylveon GX,Shiny Holo Rare,$67.50 
Tapu Fini GX,Shiny Holo Rare,$21.61 
Tapu Lele GX,Shiny Holo Rare,$22.66 
Type: Null,Shiny Holo Rare,$1.58 
Voltorb,Shiny Holo Rare,$3.10 
Wooper,Shiny Holo Rare,$3.30 
Xurkitree GX,Shiny Holo Rare,$6.74 
Zygarde GX,Shiny Holo Rare,$7.15 
Abomasnow,Rare,$0.24 
Aerodactyl GX,Ultra Rare,$2.74 
Aerodactyl GX (Secret),Secret Rare,$10.38 
Alolan Marowak,Rare,$0.36 
Amoonguss,Rare,$0.25 
Archen,Uncommon,$0.23 
Audino,Uncommon,$0.20 
Azelf,Uncommon,$0.19 
Beheeyem,Rare,$0.25 
Bidoof,Common,$0.14 
Blizzard Town,Uncommon,$0.16 
Blue's Tactics (Full Art),Ultra Rare,$19.93 
Breloom,Uncommon,$0.13 
Camerupt,Rare,$0.24 
Celebi,Holo Rare,$0.71 
Channeler,Uncommon,$0.18 
Cherish Ball,Uncommon,$0.54 
Coach Trainer,Uncommon,$0.22 
Code Card - Pale Moon GX Box,Code Card,$3.00 
Code Card - Power Partnership Tin [Garchomp & Giratina GX],Code Card,$2.75 
Code Card - Power Partnership Tin [Mewtwo & Mew GX],Code Card,$2.50 
"Code Card - Unified Minds Theme Deck - ""Soaring Storm"" [Dragonite]",Code Card,$4.99 
Cottonee,Common,$0.23 
Crustle,Rare,$0.27 
Cubone,Common,$0.13 
Dedenne,Uncommon,$0.18 
Dhelmise,Uncommon,$0.14 
Dragonair (149),Uncommon,$0.20 
Dragonite,Rare,$1.19 
Dragonite GX (Full Art),Ultra Rare,$13.25 
Drapion,Rare,$0.27 
Dratini (148),Common,$0.24 
Drifloon,Common,$0.13 
Druddigon,Common,$0.15 
Ear-Ringing Bell,Uncommon,$0.23 
Eelektross,Holo Rare,$0.46 
Escavalier,Rare,$0.21 
Excadrill,Rare,$0.23 
Exeggutor,Rare,$0.25 
Fletchinder,Common,$0.09 
Flyinium Z: Air Slash,Uncommon,$0.16 
Foongus,Common,$0.11 
Froslass,Holo Rare,$0.50 
Galvantula,Rare,$0.22 
Garchomp & Giratina GX,Ultra Rare,$4.83 
Garchomp & Giratina GX (Secret),Secret Rare,$23.54 
Giant Bomb (Secret),Secret Rare,$4.52 
Gible,Common,$0.20 
Golisopod,Holo Rare,$0.46 
Grimsley,Uncommon,$0.20 
Gumshoos,Rare,$0.22 
Haxorus,Holo Rare,$0.90 
Heatran GX (Full Art),Ultra Rare,$2.89 
Heracross,Uncommon,$0.16 
Honedge (92),Common,$0.10 
Hoopa,Holo Rare,$0.80 
Jirachi GX,Ultra Rare,$2.79 
Jynx,Uncommon,$0.27 
Karate Belt,Uncommon,$0.27 
Karrablast,Common,$0.08 
Keldeo GX (Full Art),Ultra Rare,$3.55 
Komala,Uncommon,$0.17 
Lapras,Uncommon,$0.23 
Latios GX,Ultra Rare,$2.45 
Latios GX (Secret),Secret Rare,$15.76 
Lickilicky,Rare,$0.28 
Liepard,Rare,$0.26 
Litwick (28),Common,$0.25 
Lumineon,Uncommon,$0.21 
Magmar,Common,$0.10 
Magnemite,Common,$0.16 
Magnezone,Holo Rare,$0.46 
Mawile GX,Ultra Rare,$2.28 
Mawile GX (Secret),Secret Rare,$8.87 
Meditite,Common,$0.08 
Mega Sableye & Tyranitar GX (Alternate Art),Ultra Rare,$43.28 
Mega Sableye & Tyranitar GX (Secret),Secret Rare,$20.68 
Mesprit,Uncommon,$0.20 
Mewtwo & Mew GX (Full Art),Ultra Rare,$25.36 
Misty's Favor,Uncommon,$0.28 
Munchlax,Uncommon,$0.35 
Murkrow (128),Common,$0.13 
Musharna,Uncommon,$0.15 
Naganadel GX (Full Art),Ultra Rare,$3.04 
Necrozma,Rare,$0.48 
Noibat,Common,$0.16 
Normalium Z: Tackle,Uncommon,$0.15 
Onix,Common,$0.14 
Pidove,Common,$0.07 
Pikachu (56),Common,$0.46 
Poke Maniac,Uncommon,$0.13 
Pokemon Research Lab,Uncommon,$0.20 
Pyukumuku,Uncommon,$0.16 
Raichu & Alolan Raichu GX (Alternate Full Art),Ultra Rare,$36.02 
Raichu & Alolan Raichu GX (Secret),Secret Rare,$28.82 
Recycle Energy (Secret),Secret Rare,$5.49 
Reset Stamp,Uncommon,$0.25 
Riolu (115),Common,$0.15 
Rowlet & Alolan Exeggutor GX,Ultra Rare,$5.54 
Rowlet & Alolan Exeggutor GX (Full Art),Ultra Rare,$5.66 
Sableye,Uncommon,$0.15 
Salandit (98),Common,$0.08 
Salazzle (99),Rare,$0.19 
Scraggy,Common,$0.07 
Sewaddle (7),Common,$0.11 
Silvally,Holo Rare,$0.88 
Slaking,Holo Rare,$0.50 
Slakoth (168),Common,$0.11 
Slowpoke & Psyduck GX (Alternate Full Art),Ultra Rare,$29.52 
Slowpoke & Psyduck GX (Secret),Secret Rare,$30.03 
Sneasel,Common,$0.12 
Snover,Common,$0.07 
Steelix,Rare,$0.29 
